name_match,name_steam,developer_steam,publisher_steam,price_steam,initialprice_steam,discount_steam,ccu,positive,owners_midpoint,approval_rate_steam,average_2weeks,name_gog,developer_gog,publisher_gog,price_gog,initialprice_gog,discount_gog,approval_rate_gog,name_epic,developer_epic,publisher_epic,price_epic,initialprice_epic,discount_epic,approval_rate_epic
medal of honor allied assault war chest,,,,,,,,,,,,Medal of Honor: Allied Assault War Chest,Electronic Arts,Electronic Arts,24.39,48.89,50.0,88.0,,,,,,,
might and magic 6 limited,,,,,,,,,,,,Might and Magic® 6-pack Limited Edition,"New World Computing, Inc.",Ubisoft,10.0,19.99,50.0,94.0,,,,,,,
might and magic 7 for blood and honor,,,,,,,,,,,,Might and Magic® 7: For Blood and Honor®,"New World Computing, Inc.",Ubisoft,2.39,11.99,80.0,92.0,,,,,,,
might and magic 8 day of the destroyer,,,,,,,,,,,,Might and Magic® 8: Day of the Destroyer™,"New World Computing, Inc.",Ubisoft,2.39,11.99,80.0,88.0,,,,,,,
monster hunter wilds,Monster Hunter Wilds,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",279.0,279.0,0.0,12494.0,127273.0,35000000.0,58.27,483.0,,,,,,,,,,,,,,
monster hunter world,Monster Hunter: World,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",129.0,129.0,0.0,11923.0,434239.0,15000000.0,88.01,837.0,,,,,,,,,,,,,,
mortal kombat 1,,,,,,,,,,,,,,,,,,,Mortal Kombat 1,Warner Bros.,Unknown,199.99,199.99,0.0,
mortal kombat 123,,,,,,,,,,,,Mortal Kombat 1+2+3,Midway Games,Warner Bros. Interactive Entertainment,11.99,11.99,0.0,72.0,,,,,,,
mount blade ii bannerlord,Mount & Blade II: Bannerlord,TaleWorlds Entertainment,TaleWorlds Entertainment,159.99,159.99,0.0,14477.0,232360.0,15000000.0,87.88,716.0,,,,,,,,,,,,,,
myst masterpiece,,,,,,,,,,,,Myst Masterpiece Edition,Cyan Worlds,Cyan Worlds,8.19,20.49,60.0,86.0,,,,,,,
naraka bladepoint,NARAKA: BLADEPOINT,24 Entertainment,NetEase Games Global,0.0,0.0,0.0,66954.0,225960.0,15000000.0,69.54,608.0,,,,,,,,,,,,,,
nba 2k20,NBA 2K20,Visual Concepts,2K,0.0,0.0,0.0,221.0,30260.0,7500000.0,49.87,148.0,,,,,,,,,,,,,,
need for speed heat,,,,,,,,,,,,,,,,,,,Need for Speed™ Heat Deluxe Edition,Ghost Games,Electronic Arts,279.0,279.0,0.0,
need for speed unbound,,,,,,,,,,,,,,,,,,,Need for Speed™ Unbound Standard Edition,Criterion Games,Electronic Arts,299.0,299.0,0.0,
neverwinter nights 2,,,,,,,,,,,,Neverwinter Nights 2 Complete,Obsidian Entertainment,Hasbro Inc.,36.99,36.99,0.0,88.0,,,,,,,
new world aeternum,New World: Aeternum,Amazon Games,Amazon Games,299.99,299.99,0.0,5583.0,196798.0,75000000.0,68.6,2351.0,,,,,,,,,,,,,,
nox,,,,,,,,,,,,Nox™,Westwood Studios,Electronic Arts,6.69,29.29,77.0,88.0,,,,,,,
overcooked 2,,,,,,,,,,,,,,,,,,,Overcooked! 2,Ghost Town Games and Team17 Digital Ltd,Team17 Digital Ltd,59.9,59.9,0.0,
paladins,Paladins,Evil Mojo Games,Hi-Rez Studios,0.0,0.0,0.0,1028.0,294373.0,15000000.0,84.98,393.0,,,,,,,,,,,,,,
palworld,Palworld,Pocketpair,Pocketpair,88.99,88.99,0.0,18028.0,358266.0,75000000.0,94.1,893.0,,,,,,,,,,,,,,
path of exile,Path of Exile,Grinding Gear Games,Grinding Gear Games,0.0,0.0,0.0,4694.0,209822.0,35000000.0,89.25,1263.0,,,,,,,,,,,,,,
path of exile 2,Path of Exile 2,Grinding Gear Games,Grinding Gear Games,79.8,79.8,0.0,16727.0,118511.0,35000000.0,70.12,1115.0,,,,,,,,,,,,,,
payday 2,PAYDAY 2,OVERKILL - a Starbreeze Studio.,Starbreeze Entertainment,32.99,32.99,0.0,27254.0,594327.0,35000000.0,89.63,1707.0,,,,,,,,,,,,,,
pc building simulator 2,,,,,,,,,,,,,,,,,,,PC Building Simulator 2,Spiral House Ltd,Epic Games Publishing,77.5,77.5,0.0,
pharaoh cleopatra,,,,,,,,,,,,Pharaoh + Cleopatra,Impressions Games,Activision,19.99,19.99,0.0,94.0,,,,,,,
phasmophobia,Phasmophobia,Kinetic Games,Kinetic Games,59.99,59.99,0.0,9978.0,736611.0,15000000.0,95.82,191.0,,,,,,,,,,,,,,
planescape torment,,,,,,,,,,,,Planescape: Torment: Enhanced Edition,Beamdog,Beamdog,18.5,36.99,50.0,80.0,,,,,,,
populous the beginning,,,,,,,,,,,,Populous™: The Beginning,Bullfrog Productions,Electronic Arts,29.29,29.29,0.0,90.0,,,,,,,
portal,Portal,Valve,Valve,32.99,32.99,0.0,638.0,175024.0,15000000.0,98.47,33.0,,,,,,,,,,,,,,
prince of persia the sands of time,,,,,,,,,,,,Prince of Persia®: The Sands of Time,Ubisoft,Ubisoft,29.99,29.99,0.0,88.0,,,,,,,
project zomboid,Project Zomboid,The Indie Stone,The Indie Stone,59.99,59.99,0.0,22864.0,355171.0,15000000.0,94.19,548.0,,,,,,,,,,,,,,
pubg battlegrounds,PUBG: BATTLEGROUNDS,PUBG Corporation,"KRAFTON, Inc.",0.0,0.0,0.0,314682.0,1520457.0,150000000.0,59.44,689.0,,,,,,,,,,,,,,
raft,Raft,Redbeet Interactive,Axolot Games,36.99,36.99,0.0,4701.0,323198.0,15000000.0,93.31,273.0,,,,,,,,,,,,,,
rayman 2 the great escape,,,,,,,,,,,,Rayman 2: The Great Escape,Ubisoft,Ubisoft,11.99,11.99,0.0,90.0,,,,,,,
rayman 3 hoodlum havoc,,,,,,,,,,,,Rayman 3: Hoodlum Havoc,Ubisoft,Ubisoft,11.99,11.99,0.0,86.0,,,,,,,
ready or not,,,,,,,,,,,,,,,,,,,Ready or Not,VOID Interactive Limited,VOID Interactive Limited,134.99,134.99,0.0,
reanimal,,,,,,,,,,,,,,,,,,,REANIMAL,Tarsier Studios,THQ Nordic,107.99,107.99,0.0,
red dead redemption,,,,,,,,,,,,,,,,,,,Red Dead Redemption,Rockstar Games,Rockstar Games,249.5,249.5,0.0,
red dead redemption 2,Red Dead Redemption 2,Rockstar Games,Rockstar Games,299.9,299.9,0.0,29885.0,676667.0,15000000.0,92.25,423.0,,,,,,,,Red Dead Redemption 2,Rockstar Games,Unknown,299.0,299.0,0.0,
rematch,,,,,,,,,,,,,,,,,,,REMATCH,Sloclap,"Sloclap, Kepler Interactive",89.0,89.0,0.0,
repo,R.E.P.O.,semiwork,semiwork,29.99,29.99,0.0,32349.0,179154.0,15000000.0,96.51,225.0,,,,,,,,,,,,,,
resident evil requiem,,,,,,,,,,,,,,,,,,,Resident Evil Requiem,CAPCOM,CAPCOM,339.9,339.9,0.0,
return to castle wolfenstein,,,,,,,,,,,,Return to Castle Wolfenstein,id Software,Bethesda Softworks LLC,7.19,17.99,60.0,84.0,,,,,,,
ring of elysium,Ring of Elysium,Aurora Studio,TCH Scarlet Limited,0.0,0.0,0.0,0.0,74345.0,15000000.0,74.47,0.0,,,,,,,,,,,,,,
risk of rain 2,Risk of Rain 2,Hopoo Games,Gearbox Publishing,53.99,53.99,0.0,7902.0,293127.0,7500000.0,93.48,369.0,,,,,,,,,,,,,,
robin hood the legend of sherwood,,,,,,,,,,,,Robin Hood: The Legend of Sherwood,Spellbound Entertainment AG,Microids,7.99,15.99,50.0,90.0,,,,,,,
rocket league,Rocket League,Psyonix LLC,Psyonix LLC,0.0,0.0,0.0,21106.0,509445.0,15000000.0,87.35,480.0,,,,,,,,,,,,,,
rollercoaster tycoon,,,,,,,,,,,,RollerCoaster Tycoon® Deluxe,Chris Sawyer Productions,Atari,11.99,11.99,0.0,92.0,,,,,,,
rollercoaster tycoon 2 triple thrill,,,,,,,,,,,,RollerCoaster Tycoon® 2: Triple Thrill Pack,Chris Sawyer Productions,Atari,19.99,19.99,0.0,84.0,,,,,,,
rust,Rust,Facepunch Studios,Facepunch Studios,119.99,119.99,0.0,143870.0,1071135.0,35000000.0,87.24,1376.0,,,,,,,,,,,,,,
satisfactory,Satisfactory,Coffee Stain Studios,Coffee Stain Publishing,107.99,107.99,0.0,12596.0,225479.0,15000000.0,97.16,830.0,,,,,,,,Satisfactory,Coffee Stain Studios,Coffee Stain Publishing,107.99,107.99,0.0,
schedule i,Schedule I,TVGS,TVGS,59.99,59.99,0.0,22757.0,200803.0,15000000.0,98.41,391.0,,,,,,,,,,,,,,
sekiro shadows die twice,Sekiro: Shadows Die Twice - GOTY Edition,"FromSoftware, Inc.","Activision (Excluding Japan and Asia), FromSoftware, Inc. (Japan), 方块游戏 (Asia)",274.0,274.0,0.0,6767.0,307041.0,15000000.0,95.29,150.0,,,,,,,,,,,,,,
settlers 3 collection,,,,,,,,,,,,Settlers® 3: Ultimate Collection,Blue Byte Studio,Ubisoft,19.99,19.99,0.0,78.0,,,,,,,
shadow of the tomb raider,,,,,,,,,,,,,,,,,,,Shadow of the Tomb Raider: Definitive Edition,"Eidos-Montréal, Crystal Dynamics, Nixxes Software",Crystal Dynamics,145.9,145.9,0.0,
sid meiers alpha centauri planetary,,,,,,,,,,,,Sid Meier's Alpha Centauri™ Planetary Pack,Firaxis Games,Electronic Arts,14.69,29.29,50.0,96.0,,,,,,,
sid meiers civilization v,Sid Meier's Civilization V,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",44.99,44.99,0.0,12206.0,195724.0,15000000.0,95.82,569.0,,,,,,,,,,,,,,
sid meiers civilization vi,Sid Meier’s Civilization VI,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",129.0,129.0,0.0,25420.0,304053.0,15000000.0,86.89,773.0,,,,,,,,Sid Meier’s Civilization® VI,"2K Games, Inc.",Unknown,129.0,129.0,0.0,
sid meiers civilization vii,,,,,,,,,,,,,,,,,,,Sid Meier's Civilization® VII,Firaxis Games,2K,349.9,349.9,0.0,
simcity 2000,,,,,,,,,,,,SimCity™ 2000 Special Edition,Maxis Software Inc.,Electronic Arts,14.69,29.29,50.0,90.0,,,,,,,
simcity 3000 unlimited,,,,,,,,,,,,SimCity™ 3000 Unlimited,Maxis Software Inc.,Electronic Arts,24.39,48.89,50.0,88.0,,,,,,,
simcity 4,,,,,,,,,,,,SimCity™ 4 Deluxe Edition,Maxis Software Inc.,Electronic Arts,24.39,97.69,75.0,90.0,,,,,,,
smite,SMITE,Titan Forge Games,Hi-Rez Studios,0.0,0.0,0.0,1853.0,94368.0,15000000.0,78.77,1218.0,,,,,,,,,,,,,,
snowrunner,,,,,,,,,,,,,,,,,,,SnowRunner,Saber Interactive,Focus Entertainment,99.9,99.9,0.0,
sons of the forest,Sons Of The Forest,Endnight Games Ltd,Newnight ,88.99,88.99,0.0,4450.0,222495.0,15000000.0,87.75,363.0,,,,,,,,,,,,,,
split fiction,,,,,,,,,,,,,,,,,,,Split Fiction,Hazelight Studios AB,Electronic Arts,199.0,199.0,0.0,
squad,,,,,,,,,,,,,,,,,,,Squad,Offworld,Offworld,148.99,148.99,0.0,
stalker 2 heart of chornobyl,,,,,,,,,,,,,,,,,,,S.T.A.L.K.E.R. 2: Heart of Chornobyl,GSC Game World,GSC Game World,239.0,239.0,0.0,
star wars jedi fallen order,,,,,,,,,,,,,,,,,,,STAR WARS Jedi: Fallen Order Standard Edition,Electronic Arts,Unknown,199.0,199.0,0.0,
star wars jedi survivor,,,,,,,,,,,,,,,,,,,STAR WARS Jedi: Survivor™,Electronic Arts,Electronic Arts,299.0,299.0,0.0,
star wars knights of the old republic,,,,,,,,,,,,STAR WARS™: Knights of the Old Republic,Lucasfilm,Disney,32.99,32.99,0.0,94.0,,,,,,,
star wars knights of the old republic ii the sith lords,,,,,,,,,,,,STAR WARS™ Knights of the Old Republic™ II: The Sith Lords™,Lucasfilm,Disney,32.99,32.99,0.0,90.0,,,,,,,
star wars outlaws,,,,,,,,,,,,,,,,,,,Star Wars Outlaws,Ubisoft Entertainment,Ubisoft Entertainment,349.99,349.99,0.0,
stardew valley,Stardew Valley,ConcernedApe,ConcernedApe,24.99,24.99,0.0,50662.0,872384.0,35000000.0,98.44,603.0,Stardew Valley,ConcernedApe,ConcernedApe,24.99,24.99,0.0,96.0,,,,,,,
stellar blade,,,,,,,,,,,,,,,,,,,Stellar Blade™,SHIFT UP Corporation,PlayStation Publishing LLC (excluding China),249.9,249.9,0.0,
stronghold crusader hd,,,,,,,,,,,,Stronghold Crusader HD,FireFly Studios,FireFly Studios,3.4,16.99,80.0,90.0,,,,,,,
stronghold hd,,,,,,,,,,,,Stronghold HD,FireFly Studios,FireFly Studios,3.59,11.99,70.0,88.0,,,,,,,
swat 4,,,,,,,,,,,,SWAT 4: Gold Edition,Irrational Games,Activision,16.99,16.99,0.0,96.0,,,,,,,
syndicate plus,,,,,,,,,,,,Syndicate Plus™,Bullfrog Productions,Electronic Arts,29.29,29.29,0.0,92.0,,,,,,,
system shock,,,,,,,,,,,,System Shock: Enhanced Edition,Looking Glass Studios,Nightdive Studios,19.99,19.99,0.0,92.0,,,,,,,
team fortress 2,Team Fortress 2,Valve,Valve,0.0,0.0,0.0,43819.0,1044264.0,75000000.0,89.91,723.0,,,,,,,,,,,,,,
terraria,Terraria,Re-Logic,Re-Logic,32.99,32.99,0.0,24580.0,1373979.0,35000000.0,97.48,793.0,,,,,,,,,,,,,,
the crew motorfest,,,,,,,,,,,,,,,,,,,The Crew™ Motorfest Standard Edition,Ubisoft Ivory Tower,Ubisoft,299.99,299.99,0.0,
the elder scrolls iii morrowind,,,,,,,,,,,,The Elder Scrolls III: Morrowind GOTY Edition,Bethesda Softworks,Bethesda Softworks LLC,16.5,32.99,50.0,94.0,,,,,,,
the elder scrolls iv oblivion,,,,,,,,,,,,The Elder Scrolls IV: Oblivion - Game of the Year Edition Deluxe,Bethesda Game Studios,Bethesda Softworks LLC,10.79,42.99,75.0,84.0,,,,,,,
the elder scrolls online,,,,,,,,,,,,,,,,,,,The Elder Scrolls Online,ZeniMax Online Studios,Bethesda Softworks,61.5,61.5,0.0,
the elder scrolls v skyrim,,,,,,,,,,,,,,,,,,,The Elder Scrolls V: Skyrim Special Edition,Bethesda Game Studios,Bethesda Softworks,149.0,149.0,0.0,
the forest,The Forest,Endnight Games Ltd,Endnight Games Ltd,37.99,37.99,0.0,2892.0,599805.0,35000000.0,95.54,148.0,,,,,,,,,,,,,,
the last of us part i,,,,,,,,,,,,,,,,,,,The Last of Us™ Part I,Naughty Dog LLC,PlayStation Publishing LLC,249.9,249.9,0.0,
the last of us part ii,,,,,,,,,,,,,,,,,,,The Last of Us™ Part II Remastered,"Naughty Dog LLC, Nixxes Software, Iron Galaxy",PlayStation Publishing LLC,199.9,199.9,0.0,
the lord of the rings return to moria,,,,,,,,,,,,,,,,,,,The Lord of The Rings: Return to Moria™,Free Range Games,North Beach Games,80.99,80.99,0.0,
the outlast trials,,,,,,,,,,,,,,,,,,,The Outlast Trials,Red Barrels,Red Barrels,107.99,107.99,0.0,
the secret of monkey island,,,,,,,,,,,,The Secret of Monkey Island™: Special Edition,Lucasfilm,Disney,32.99,32.99,0.0,90.0,,,,,,,
the settlers 2,,,,,,,,,,,,The Settlers® 2: Gold Edition,Blue Byte Studio,Ubisoft,19.99,19.99,0.0,94.0,,,,,,,
the settlers 2 10th,,,,,,,,,,,,The Settlers® 2: 10th Anniversary,Blue Byte Studio,Ubisoft,19.99,19.99,0.0,88.0,,,,,,,
the settlers 4,,,,,,,,,,,,The Settlers® 4: Gold Edition,Blue Byte Studio,Ubisoft,19.99,19.99,0.0,76.0,,,,,,,
the sims 4,The Sims 4,Maxis,Electronic Arts,0.0,0.0,0.0,25276.0,149064.0,15000000.0,87.31,593.0,,,,,,,,,,,,,,
the temple of elemental evil,,,,,,,,,,,,The Temple of Elemental Evil,Troika Games,Hasbro Inc.,32.99,32.99,0.0,82.0,,,,,,,
the witcher,,,,,,,,,,,,The Witcher: Enhanced Edition,CD PROJEKT RED,CD PROJEKT RED,16.99,16.99,0.0,92.0,,,,,,,
the witcher 2 assassins of kings,,,,,,,,,,,,The Witcher 2: Assassins of Kings Enhanced Edition,CD PROJEKT RED,CD PROJEKT RED,59.99,59.99,0.0,94.0,,,,,,,
the witcher 3 wild hunt,The Witcher 3: Wild Hunt,CD PROJEKT RED,CD PROJEKT RED,129.99,129.99,0.0,15893.0,802993.0,35000000.0,96.13,527.0,The Witcher 3: Wild Hunt - Complete Edition,CD PROJEKT RED,CD PROJEKT RED,159.99,159.99,0.0,96.0,,,,,,,
the witcher 3 wild hunt,The Witcher 3: Wild Hunt,CD PROJEKT RED,CD PROJEKT RED,129.99,129.99,0.0,15893.0,802993.0,35000000.0,96.13,527.0,The Witcher 3: Wild Hunt,CD PROJEKT RED,CD PROJEKT RED,129.99,129.99,0.0,96.0,,,,,,,
thehunter call of the wild,,,,,,,,,,,,,,,,,,,theHunter: Call of the Wild™,Expansive Worlds,Expansive Worlds,37.99,37.99,0.0,
theme hospital,,,,,,,,,,,,Theme Hospital,Bullfrog Productions,Electronic Arts,29.29,29.29,0.0,94.0,,,,,,,
thief,,,,,,,,,,,,Thief™ Gold,Looking Glass Studios,Eidos Interactive Corporation,7.29,28.99,75.0,96.0,,,,,,,
thief 2 the metal age,,,,,,,,,,,,Thief™ 2: The Metal Age,Looking Glass Studios,Eidos Interactive Corporation,7.29,28.99,75.0,98.0,,,,,,,
thief 3 deadly shadows,,,,,,,,,,,,Thief™ 3: Deadly Shadows,Ion Storm Inc.,Eidos Interactive Corporation,7.49,37.49,80.0,84.0,,,,,,,
thronebreaker the witcher tales,,,,,,,,,,,,Thronebreaker: The Witcher Tales,CD PROJEKT RED,CD PROJEKT RED,55.99,55.99,0.0,86.0,,,,,,,
tom clancys ghost recon wildlands,,,,,,,,,,,,,,,,,,,Tom Clancy's Ghost Recon Wildlands Standard Edition,Ubisoft Entertainment,Unknown,149.99,149.99,0.0,
tom clancys rainbow six siege,Tom Clancy's Rainbow Six Siege,Ubisoft Montreal,Ubisoft,19.99,19.99,0.0,51847.0,1172854.0,35000000.0,83.86,459.0,,,,,,,,,,,,,,
tom clancys the division 2,,,,,,,,,,,,,,,,,,,Tom Clancy's The Division 2,Massive Entertainment,Ubisoft,149.99,149.99,0.0,
total annihilation commander,,,,,,,,,,,,Total Annihilation: Commander Pack,Cavedog Entertainment,Wargaming.net,10.49,10.49,0.0,96.0,,,,,,,
total war three kingdoms,,,,,,,,,,,,,,,,,,,Total War: THREE KINGDOMS,Creative Assembly,SEGA,149.99,149.99,0.0,
total war warhammer iii,,,,,,,,,,,,,,,,,,,Total War: WARHAMMER III,Creative Assembly ,SEGA,299.0,299.0,0.0,
trove,Trove,gamigo US Inc.,gamigo US Inc.,0.0,0.0,0.0,758.0,74103.0,15000000.0,80.22,18.0,,,,,,,,,,,,,,
ultima 7 the,,,,,,,,,,,,Ultima™ 7 The Complete Edition,Origin Systems,Electronic Arts,14.69,29.29,50.0,96.0,,,,,,,
ultima underworld 12,,,,,,,,,,,,Ultima™ Underworld 1+2,Blue Sky Productions,Electronic Arts,14.69,29.29,50.0,94.0,,,,,,,
uncharted legacy of thieves collection,,,,,,,,,,,,,,,,,,,UNCHARTED™: Legacy of Thieves Collection,Naughty Dog LLC,PlayStation Publishing LLC,199.9,199.9,0.0,
unturned,Unturned,Smartly Dressed Games,Smartly Dressed Games,0.0,0.0,0.0,10408.0,506516.0,75000000.0,91.2,3817.0,,,,,,,,,,,,,,
valheim,Valheim,Iron Gate AB,Coffee Stain Publishing,79.09,79.09,0.0,14439.0,471451.0,15000000.0,94.32,713.0,,,,,,,,,,,,,,
vampire the masquerade bloodlines,,,,,,,,,,,,Vampire®: The Masquerade - Bloodlines™,Troika Games,Activision,34.99,34.99,0.0,96.0,,,,,,,
vampire the masquerade redemption,,,,,,,,,,,,Vampire: The Masquerade - Redemption,Nihilistic Software,Activision,11.99,11.99,0.0,82.0,,,,,,,
vrchat,VRChat,VRChat Inc.,VRChat Inc.,0.0,0.0,0.0,34699.0,181623.0,35000000.0,75.56,1338.0,,,,,,,,,,,,,,
wallpaper engine,Wallpaper Engine,Wallpaper Engine Team,Wallpaper Engine Team,17.99,17.99,0.0,91184.0,876898.0,35000000.0,98.04,153.0,,,,,,,,,,,,,,
war robots frontiers,War Robots: Frontiers,MY.GAMES,MY.GAMES,0.0,0.0,0.0,256.0,1977.0,35000000.0,64.15,0.0,,,,,,,,,,,,,,
war thunder,War Thunder,Gaijin Entertainment,Gaijin Network Ltd,0.0,0.0,0.0,50478.0,484469.0,35000000.0,63.99,727.0,,,,,,,,,,,,,,
warface clutch,Warface: Clutch,MY.GAMES,MY.GAMES,0.0,0.0,0.0,270.0,54554.0,35000000.0,66.37,1151.0,,,,,,,,,,,,,,
warframe,Warframe,Digital Extremes,Digital Extremes,0.0,0.0,0.0,36195.0,545393.0,35000000.0,87.05,1135.0,,,,,,,,,,,,,,
warhammer 40000 rogue trader,"Warhammer 40,000: Rogue Trader",Owlcat Games,Owlcat Games,81.24,81.24,0.0,3582.0,26360.0,15000000.0,85.57,767.0,,,,,,,,,,,,,,
warhammer 40000 space marine 2,,,,,,,,,,,,,,,,,,,"Warhammer 40,000: Space Marine 2",Saber Interactive,Focus Entertainment,199.9,199.9,0.0,
watch dogs 2,,,,,,,,,,,,,,,,,,,Watch Dogs 2 Standard Edition,Ubisoft Entertainment,Unknown,149.99,149.99,0.0,
wing commander 12,,,,,,,,,,,,Wing Commander™ 1+2,Origin Systems,Electronic Arts,29.29,29.29,0.0,94.0,,,,,,,
wing commander 3 heart of the tiger,,,,,,,,,,,,Wing Commander™ 3 Heart of the Tiger™,Origin Systems,Electronic Arts,29.29,29.29,0.0,94.0,,,,,,,
wing commander 4 the price of freedom,,,,,,,,,,,,Wing Commander™ 4: The Price of Freedom,Origin Systems,Electronic Arts,29.29,29.29,0.0,94.0,,,,,,,
world in conflict,,,,,,,,,,,,World in Conflict: Complete Edition,Massive Entertainment,Ubisoft,19.99,19.99,0.0,86.0,,,,,,,
world of tanks blitz,World of Tanks Blitz,Wargaming Group Limited,Wargaming Group Limited,0.0,0.0,0.0,5707.0,116407.0,15000000.0,78.57,511.0,,,,,,,,,,,,,,
world of warships,World of Warships,Wargaming Group Limited,Wargaming Group Limited,0.0,0.0,0.0,8518.0,112887.0,35000000.0,77.03,1170.0,,,,,,,,,,,,,,
world war z aftermath,,,,,,,,,,,,,,,,,,,World War Z Aftermath,Saber Interactive,Unknown,135.9,135.9,0.0,
wuchang fallen feathers,,,,,,,,,,,,,,,,,,,WUCHANG: Fallen Feathers,Leenzee,505 Games,199.0,199.0,0.0,
z1 battle royale,Z1 Battle Royale,Daybreak Game Company,Daybreak Game Company,0.0,0.0,0.0,1010.0,113729.0,15000000.0,55.75,20.0,,,,,,,,,,,,,,
zeus poseidon acropolis,,,,,,,,,,,,Zeus + Poseidon (Acropolis),Impressions Games,Activision,19.99,19.99,0.0,94.0,,,,,,,
